"","literature.path","explained.by"
"1","MAP2K->SRC1","NF"
"2","MAP2K->mTOR","NF"
"3","MAP2K->NUR77","NF"
"4","MAP2K->GSK3B","NF"
"5","MAP2K->NF-kB","NF"
"6","MAP2K->ITGB4","NF"
"7","MAP2K->E2F1","NF"
"8","MAP2K->LKB1","NF"
"9","MAP2K->AMPK","NF"
"10","MAP2K->c-IAP2","NF"
"11","MAP2K->FOXO3A","NF"
"12","MAP2K->P70S6K","NF"
"13","MAP2K->CDK1","NF"
"14","MAP2K->STAT3","NF"
"15","MAP2K->MAP3K","NF"
"16","MAP2K->GSK3A","NF"
"17","MAP2K->Tuberin","NF"
"18","MAP2K->C/EBPbeta","NF"
"19","MAP2K->c-Abl","NF"
"20","MAP2K->p300","NF"
"21","MAP2K->AKT","NF"
"22","MAP2K->ESR1","NF"
"23","MAP2K->EGFR","NF"
"24","MAP2K->Cyclin D","NF"
"25","MAP2K->RAF1","NF"
"26","MAP2K->Androgen receptor","NF"
"27","MAP2K->HGF receptor (Met)","NF"
"28","MAP2K->B-Raf","NF"
"29","MAP2K->PKC","NF"
"30","MAP2K->HSF1","NF"
"31","MAP2K->NOTCH1 (NICD)","NF"
"32","MAP2K->AKT1","NF"
"33","MAP2K->FAK1","NF"
"34","MAP2K->IKK-beta","NF"
"35","MAP2K->Cyclin D1","NF"
"36","MAP2K->PRKAB1","NF"
"37","MAP2K->MAPK1","NF"
"38","MAP2K->ErbB4","NF"
"39","MAP2K->Beta-catenin","NF"
"40","MAP2K->Sirtuin1","NF"
"41","MAP2K->H-Ras","NF"
"42","MAP2K->JNK2(MAPK9)","NF"
"43","MAP2K->p53","NF"
"44","MAP2K->PAK1","NF"
"45","MAP2K->KLF5","NF"
"46","MAP2K->HSP70","NF"
"47","MAP2K->SIK","NF"
"48","MAP2K->VIL2","NF"
"49","MAP2K->CARM1","NF"
"50","MAP2K->TC21","NF"
"51","MAP2K->LEPR","NF"
"52","MAP2K->GRB2","NF"
"53","MAP2K->ETS1","NF"
"54","MAP2K->MITF","NF"
"55","MAP2K->MUC1","NF"
"56","MAP2K->ErbB3","NF"
"57","MAP2K->LRP6","NF"
"58","MAP2K->NF-AT2(NFATC1)","NF"
"59","MAP2K->PP1-cat","NF"
"60","MAP2K->YB-1","NF"
"61","MAP2K->PIK3C3","NF"
"62","MAP2K->RelB (NF-kB subunit)","NF"
"63","MAP2K->IGF-1 receptor","NF"
"64","MAP2K->Bcl-3","NF"
"65","MAP2K->c-Myc","NF"
"66","MAP2K->Aurora-A","NF"
"67","MAP2K->MAPK3","NF"
"68","MAP2K->PRAS40","NF"
"69","MAP2K->BCL10","NF"
"70","MAP2K->EGR1","NF"
"71","MAP2K->N-Myc","NF"
"72","MAP2K->PP2A catalytic","NF"
"73","MAP2K->STAT1","NF"
"74","MAP2K->PRKAA1","NF"
"75","MAP2K->PP2A cat (alpha)","NF"
"76","MAP2K->PI-TP","NF"
"77","MAP2K->STAT5B","NF"
"78","MAP2K->c-Jun","NF"
"79","MAP2K->JAK2","NF"
"80","MAP2K->Axin","NF"
"81","MAP2K->FRAT1","NF"
"82","MAP2K->Shc","NF"
"83","MAP2K->GRB10","NF"
"84","MAP2K->RAP-1A","NF"
"85","MAP2K->p120GAP","NF"
"86","MAP2K->ErbB2","NF"
"87","MAP2K->CDC42","NF"
"88","MAP2K->JAK1","NF"
"89","MAP2K->JunB","NF"
"90","MAP2K->SP1","NF"
"91","MAP2K->P90S6K","NF"
"92","MAP2K->Paxillin","NF"
"93","MAP2K->SHP-2","NF"
"94","MAP2K->Securin","NF"
"95","MAP2K->SRC","NF"
"96","MAP2K->Raptor","NF"
"97","MAP2K->RHEB2","NF"
"98","MAP2K->Prolactin receptor","NF"
"99","MAP2K->CDC25A","NF"
"100","MAP2K->RIPK2","NF"
"101","MAP2K->Rictor","NF"
"102","MAP2K->BMAL1","NF"
"103","MAP2K->ESPL1","NF"
"104","MAP2K->AML1 (RUNX1)","NF"
"105","MAP2K->DEPTOR","NF"
"106","MAP2K->PLK1","NF"
"107","MAP2K->ROCK1","NF"
"108","MAP2K->YY1","NF"
"109","MAP2K->PKC-theta","NF"
"110","MAP2K->SREBP1 (nuclear)","NF"
"111","MAP2K->CREB1","NF"
"112","MAP2K->WDR3","NF"
"113","MAP2K->G-protein alpha-i2","NF"
"114","MAP2K->PKA-cat alpha","NF"
"115","MAP2K->PTEN","NF"
"116","MAP2K->DNA-PK","NF"
"117","MAP2K->GRP78","NF"
"118","MAP2K->RARalpha","NF"
"119","MAP2K->C/EBPalpha","NF"
"120","MAP2K->GCR-alpha","NF"
"121","MAP2K->PKC-mu","NF"
"122","MAP2K->MEK1/2","NF"
"123","MAP2K->ADAM17","NF"
"124","MAP2K->STAT5A","NF"
"125","MAP2K->ERK1/2","NF"
"126","MAP2K->APC protein","NF"
"127","MAP2K->BRG1","NF"
"128","MAP2K->NF-kB1 (p50)","NF"
"129","MAP2K->PKC-lambda/iota","NF"
"130","SRC1->MAP2K","NF"
"131","SRC1->mTOR","NF"
"132","SRC1->NUR77","NF"
"133","SRC1->GSK3B","NF"
"134","SRC1->NF-kB","NF"
"135","SRC1->ITGB4","NF"
"136","SRC1->E2F1","NF"
"137","SRC1->LKB1","NF"
"138","SRC1->AMPK","NF"
"139","SRC1->c-IAP2","NF"
"140","SRC1->FOXO3A","NF"
"141","SRC1->P70S6K","NF"
"142","SRC1->CDK1","NF"
"143","SRC1->STAT3","NF"
"144","SRC1->MAP3K","NF"
"145","SRC1->GSK3A","NF"
"146","SRC1->Tuberin","NF"
"147","SRC1->C/EBPbeta","NF"
"148","SRC1->c-Abl","NF"
"149","SRC1->p300","NF"
"150","SRC1->AKT","NF"
"151","SRC1->ESR1","NF"
"152","SRC1->EGFR","NF"
"153","SRC1->Cyclin D","NF"
"154","SRC1->RAF1","NF"
"155","SRC1->Androgen receptor","NF"
"156","SRC1->HGF receptor (Met)","NF"
"157","SRC1->B-Raf","NF"
"158","SRC1->PKC","NF"
"159","SRC1->HSF1","NF"
"160","SRC1->NOTCH1 (NICD)","NF"
"161","SRC1->AKT1","NF"
"162","SRC1->FAK1","NF"
"163","SRC1->IKK-beta","NF"
"164","SRC1->Cyclin D1","NF"
"165","SRC1->PRKAB1","NF"
"166","SRC1->MAPK1","NF"
"167","SRC1->ErbB4","NF"
"168","SRC1->Beta-catenin","NF"
"169","SRC1->Sirtuin1","NF"
"170","SRC1->H-Ras","NF"
"171","SRC1->JNK2(MAPK9)","NF"
"172","SRC1->p53","NF"
"173","SRC1->PAK1","NF"
"174","SRC1->KLF5","NF"
"175","SRC1->HSP70","NF"
"176","SRC1->SIK","NF"
"177","SRC1->VIL2","NF"
"178","SRC1->CARM1","NF"
"179","SRC1->TC21","NF"
"180","SRC1->LEPR","NF"
"181","SRC1->GRB2","NF"
"182","SRC1->ETS1","NF"
"183","SRC1->MITF","NF"
"184","SRC1->MUC1","NF"
"185","SRC1->ErbB3","NF"
"186","SRC1->LRP6","NF"
"187","SRC1->NF-AT2(NFATC1)","NF"
"188","SRC1->PP1-cat","NF"
"189","SRC1->YB-1","NF"
"190","SRC1->PIK3C3","NF"
"191","SRC1->RelB (NF-kB subunit)","NF"
"192","SRC1->IGF-1 receptor","NF"
"193","SRC1->Bcl-3","NF"
"194","SRC1->c-Myc","NF"
"195","SRC1->Aurora-A","NF"
"196","SRC1->MAPK3","NF"
"197","SRC1->PRAS40","NF"
"198","SRC1->BCL10","NF"
"199","SRC1->EGR1","NF"
"200","SRC1->N-Myc","NF"
"201","SRC1->PP2A catalytic","NF"
"202","SRC1->STAT1","NF"
"203","SRC1->PRKAA1","NF"
"204","SRC1->PP2A cat (alpha)","NF"
"205","SRC1->PI-TP","NF"
"206","SRC1->STAT5B","NF"
"207","SRC1->c-Jun","NF"
"208","SRC1->JAK2","NF"
"209","SRC1->Axin","NF"
"210","SRC1->FRAT1","NF"
"211","SRC1->Shc","NF"
"212","SRC1->GRB10","NF"
"213","SRC1->RAP-1A","NF"
"214","SRC1->p120GAP","NF"
"215","SRC1->ErbB2","NF"
"216","SRC1->CDC42","NF"
"217","SRC1->JAK1","NF"
"218","SRC1->JunB","NF"
"219","SRC1->SP1","NF"
"220","SRC1->P90S6K","NF"
"221","SRC1->Paxillin","NF"
"222","SRC1->SHP-2","NF"
"223","SRC1->Securin","NF"
"224","SRC1->SRC","NF"
"225","SRC1->Raptor","NF"
"226","SRC1->RHEB2","NF"
"227","SRC1->Prolactin receptor","NF"
"228","SRC1->CDC25A","NF"
"229","SRC1->RIPK2","NF"
"230","SRC1->Rictor","NF"
"231","SRC1->BMAL1","NF"
"232","SRC1->ESPL1","NF"
"233","SRC1->AML1 (RUNX1)","NF"
"234","SRC1->DEPTOR","NF"
"235","SRC1->PLK1","NF"
"236","SRC1->ROCK1","NF"
"237","SRC1->YY1","NF"
"238","SRC1->PKC-theta","NF"
"239","SRC1->SREBP1 (nuclear)","NF"
"240","SRC1->CREB1","NF"
"241","SRC1->WDR3","NF"
"242","SRC1->G-protein alpha-i2","NF"
"243","SRC1->PKA-cat alpha","NF"
"244","SRC1->PTEN","NF"
"245","SRC1->DNA-PK","NF"
"246","SRC1->GRP78","NF"
"247","SRC1->RARalpha","NF"
"248","SRC1->C/EBPalpha","NF"
"249","SRC1->GCR-alpha","NF"
