"","edge","explained.by"
"1","BCL10->GSK3B","BCL10->JNK2(MAPK9)->GSK3B"
"2","EGFR->GSK3B","EGFR->FAK1->GSK3B"
"3","ESPL1->EGFR","none"
"4","ESPL1->ITGB4","none"
"5","GSK3A->GSK3B","GSK3A->LRP6->GSK3B"
"6","GSK3B->LEPR","GSK3B->IGF-1 receptor->LEPR"
"7","GSK3B->RPS6KB1","none"
"8","GSK3B->RPS6KA1","none"
"9","GSK3B->TSC2","GSK3B->TSC2"
"10","ITGB4->PIK3C3","ITGB4->VIL2->SRC1->PIK3C3"
"11","LEPR->GSK3B","LEPR->SRC1->FAK1->GSK3B"
"12","STK11->GSK3B","none"
"13","MTOR->EGFR","MTOR->AKT->EGFR"
"14","MTOR->PIK3C3","MTOR->AKT->EGFR->PIK3C3"
"15","RPS6KB1->PRKAB1","none"
"16","RPS6KA1->GSK3B","none"
"17","PIK3C3->BCL10","PIK3C3->MTOR->AKT->BCL10"
"18","PIK3C3->TSC1","none"
"19","PRKAA1->WDR3","none"
"20","RAF1->MTOR","RAF1->Aurora-A->SRC1->c-Abl->MTOR"
"21","RAF1->SRC","RAF1->MAP2K->GSK3B->SRC"
"22","SRC->RAF1","SRC->ESR1->EGFR->RAF1"
"23","TRUB2->GSK3B","none"
"24","TSC1->GSK3B","none"
"25","TSC2->GSK3B","TSC2->ESR1->LKB1->GSK3B"
"26","WDR3->RAF1","none"
